Year,CitingField,NumOutgoingCitations,CitedField,NumIncomingCitations
1918.0,142362112,393,142362112,2834
1884.0,127413603,18,127413603,488
1936.0,39432304,407,39432304,8923
1981.0,127413603,213048,127413603,641073
2009.0,144024400,1133606,144024400,983986
1976.0,138885662,14019,138885662,61901
1911.0,185592680,12277,185592680,18091
1920.0,185592680,3142,185592680,22798
1966.0,162324750,3397,162324750,74521
1886.0,86803240,92,86803240,3502
1916.0,127313418,235,127313418,5733
1922.0,144133560,24,144133560,1275
1897.0,33923547,22,33923547,2694
1926.0,127413603,500,127413603,11594
1911.0,121332964,316,121332964,7443
1891.0,121332964,119,121332964,1291
1939.0,142362112,2491,142362112,11677
1872.0,121332964,10,121332964,431
1928.0,205649164,829,205649164,8807
1934.0,39432304,385,39432304,7026
1939.0,17744445,680,17744445,9102
1889.0,71924100,361,71924100,7897
1937.0,142362112,1851,142362112,11225
1910.0,127413603,99,127413603,4910
1910.0,17744445,98,17744445,2506
1918.0,15744967,368,15744967,4491
1933.0,39432304,307,39432304,8388
1896.0,121332964,148,121332964,1087
1883.0,192562407,63,192562407,887
1926.0,144024400,46,144024400,3869
1900.0,86803240,714,86803240,9656
1924.0,127313418,429,127313418,8993
1895.0,127413603,2,127413603,477
1900.0,17744445,58,17744445,1773
1912.0,17744445,77,17744445,2801
1879.0,86803240,73,86803240,3432
1921.0,192562407,402,192562407,37926
1877.0,71924100,102,71924100,5188
1903.0,127313418,51,127313418,3880
1848.0,142362112,3,142362112,441
1895.0,142362112,48,142362112,2220
1896.0,205649164,25,205649164,2916
1851.0,185592680,11,185592680,399
1901.0,127413603,35,127413603,2431
1884.0,121332964,97,121332964,1216
1894.0,205649164,301,205649164,2445
1903.0,205649164,53,205649164,4897
1902.0,15744967,29,15744967,4935
1875.0,127413603,2,127413603,72
1870.0,86803240,6,86803240,2598
1874.0,86803240,16,86803240,2333
1852.0,138885662,3,138885662,293
1894.0,95457728,6,95457728,2348
1908.0,41008148,5,41008148,6991
1900.0,95457728,6,95457728,2998
1938.0,144133560,152,144133560,2031
1913.0,144133560,3,144133560,714
1874.0,33923547,7,33923547,784
1881.0,127313418,6,127313418,1768
1849.0,138885662,1,138885662,640
1911.0,162324750,4,162324750,1357
1903.0,162324750,4,162324750,486
1850.0,127313418,3,127313418,840
1868.0,142362112,4,142362112,683
1834.0,39432304,1,39432304,3
1840.0,138885662,1,138885662,290
1885.0,95457728,9,95457728,1413
1803.0,86803240,1,86803240,142
1872.0,192562407,5,192562407,407
1846.0,185592680,2,185592680,332
1913.0,144024400,15,144024400,1422
1853.0,86803240,1,86803240,1251
1870.0,127313418,1,127313418,921
1858.0,192562407,3,192562407,277
1879.0,41008148,1,41008148,807
1845.0,121332964,1,121332964,152
2010.0,17744445,1261562,17744445,725833
1935.0,142362112,1849,142362112,10135
1910.0,121332964,268,121332964,6024
1992.0,71924100,1862991,71924100,4827651
2007.0,71924100,9668801,71924100,11180674
