year(Date),FieldOfStudyId,Gender,Authorships
1806.0,144024400,1,6
1820.0,15744967,1,21
1873.0,127413603,1,121
1877.0,127413603,0,8
1880.0,33923547,0,6
1824.0,138885662,0,6
1904.0,17744445,0,48
1887.0,205649164,0,29
1880.0,15744967,1,57
1855.0,17744445,0,6
1918.0,121332964,0,36
1855.0,144133560,1,11
1845.0,127313418,0,1
1816.0,17744445,1,21
1901.0,192562407,0,39
1944.0,144133560,0,88
1905.0,127413603,0,64
1852.0,138885662,0,6
1819.0,39432304,1,4
1843.0,121332964,0,1
1877.0,162324750,1,11
1827.0,39432304,1,11
1849.0,162324750,1,14
1878.0,144024400,1,30
1828.0,127313418,1,16
1812.0,192562407,1,8
1843.0,162324750,1,8
1820.0,127413603,1,18
1844.0,17744445,0,3
1818.0,95457728,0,2
1892.0,127413603,0,20
1857.0,205649164,0,10
1843.0,205649164,0,7
1879.0,71924100,0,22
1889.0,144133560,0,6
1813.0,127413603,1,19
1805.0,95457728,0,8
1809.0,205649164,0,3
1885.0,127413603,0,11
,127313418,1,13
1822.0,15744967,1,19
1850.0,185592680,0,3
1823.0,15744967,1,9
1880.0,41008148,0,14
1897.0,86803240,0,31
1875.0,162324750,0,3
1826.0,86803240,0,1
1827.0,144133560,1,1
1867.0,15744967,1,27
1826.0,95457728,0,9
1868.0,39432304,1,13
1816.0,121332964,1,11
1857.0,17744445,0,6
1813.0,192562407,0,1
1910.0,39432304,0,19
1835.0,144133560,1,10
1866.0,162324750,1,13
1855.0,127413603,0,5
1865.0,41008148,0,8
1802.0,162324750,1,2
1849.0,15744967,0,3
1842.0,205649164,0,5
1869.0,41008148,0,2
1828.0,138885662,0,4
1854.0,71924100,0,7
1850.0,138885662,0,5
1885.0,33923547,0,4
1864.0,144024400,0,4
1837.0,86803240,0,3
1807.0,71924100,1,11
1837.0,17744445,0,3
1802.0,95457728,0,7
1862.0,127413603,0,4
1843.0,144133560,1,7
1821.0,17744445,0,1
1864.0,71924100,0,13
1857.0,144133560,1,13
1857.0,121332964,0,4
1883.0,192562407,0,3
1872.0,17744445,0,12
1866.0,144024400,0,3
1895.0,127313418,0,7
1869.0,185592680,0,9
1836.0,138885662,0,1
1867.0,17744445,0,6
1820.0,17744445,0,2
1837.0,144024400,0,2
1817.0,142362112,0,13
1874.0,144133560,0,2
1886.0,127313418,0,6
1831.0,144133560,1,3
1864.0,39432304,1,9
1814.0,86803240,1,7
1835.0,17744445,0,3
1816.0,86803240,0,2
1836.0,17744445,0,5
1845.0,205649164,0,4
1862.0,162324750,0,1
1835.0,162324750,1,5
1805.0,162324750,1,5
1806.0,121332964,1,5
1824.0,205649164,0,6
1859.0,127413603,0,6
1845.0,162324750,0,1
1831.0,17744445,0,1
1879.0,127313418,0,3
1825.0,39432304,1,2
1875.0,17744445,0,1
1894.0,144133560,0,3
1850.0,127313418,0,1
1851.0,39432304,0,2
1881.0,162324750,0,1
1859.0,162324750,0,2
1822.0,71924100,0,3
1803.0,86803240,0,1
1861.0,41008148,0,1
1809.0,15744967,0,1
1852.0,121332964,0,3
1863.0,144024400,0,1
1807.0,205649164,0,4
1867.0,185592680,0,2
1861.0,144024400,0,2
1801.0,162324750,0,1
1815.0,71924100,0,1
1880.0,39432304,0,1
1844.0,162324750,0,1
1815.0,121332964,0,1
1860.0,41008148,0,1
1988.0,86803240,0,37203
1986.0,142362112,1,19326
1995.0,185592680,1,173895
1996.0,138885662,1,12986
2006.0,33923547,1,92989
1974.0,127413603,1,23581
2002.0,127413603,0,26910
