year(Date),FieldOfStudyId,Gender,Authorships
1865.0,142362112,0,58
1836.0,144024400,1,22
1877.0,95457728,0,29
1918.0,144024400,0,61
1842.0,205649164,0,5
1805.0,162324750,1,6
1827.0,39432304,1,11
1893.0,121332964,0,11
1887.0,205649164,0,30
1869.0,185592680,0,9
1868.0,127413603,1,90
1855.0,17744445,0,6
1918.0,121332964,0,37
1815.0,185592680,1,44
1820.0,15744967,1,22
1877.0,127413603,0,8
1855.0,144133560,1,13
1845.0,127313418,0,1
1816.0,17744445,1,22
1890.0,192562407,1,79
,41008148,1,78
1852.0,138885662,0,6
1819.0,39432304,1,7
1896.0,138885662,0,35
1843.0,121332964,0,1
1887.0,144024400,1,54
1892.0,127413603,0,20
1839.0,95457728,0,10
1866.0,205649164,0,16
1820.0,127413603,1,20
1844.0,17744445,0,4
1886.0,205649164,0,24
1818.0,95457728,0,2
1857.0,205649164,0,12
1843.0,205649164,0,8
1879.0,71924100,0,23
1889.0,144133560,0,6
1824.0,205649164,0,7
1910.0,39432304,0,20
1817.0,142362112,0,15
1868.0,39432304,1,15
1805.0,95457728,0,8
1828.0,127313418,1,19
1850.0,185592680,0,3
1839.0,185592680,1,64
1880.0,41008148,0,14
1901.0,39432304,0,12
1810.0,71924100,1,15
1823.0,15744967,1,21
1801.0,86803240,1,16
1872.0,17744445,0,12
1842.0,138885662,0,7
1859.0,127413603,0,6
1867.0,185592680,0,2
1816.0,121332964,1,13
1880.0,39432304,0,1
1844.0,162324750,0,1
1807.0,71924100,1,11
1843.0,162324750,1,8
1813.0,127413603,1,20
1845.0,205649164,0,4
1865.0,41008148,0,8
1855.0,127413603,0,5
1826.0,95457728,0,9
1891.0,33923547,0,4
1857.0,17744445,0,6
1813.0,192562407,0,1
1809.0,205649164,0,3
1835.0,144133560,1,11
1806.0,144024400,1,6
1849.0,15744967,0,3
1866.0,162324750,1,13
1849.0,162324750,1,14
1836.0,17744445,0,5
1880.0,33923547,0,6
1885.0,127413603,0,11
1835.0,17744445,0,3
1831.0,144133560,1,4
1874.0,144133560,0,2
1822.0,15744967,1,20
1850.0,138885662,0,5
1885.0,33923547,0,4
1812.0,192562407,1,8
1864.0,144024400,0,4
1873.0,205649164,0,19
