AuthorId,PageRank,PageRank05,InDegreeStrength,InDegree,OutDegreeStrength,OutDegree,Gender,Rank,AuthorId.1,Rank.1,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,PaperFamilyCount,CitationCount,CreatedDate,DisplayName.1
2258818573,0.000588931,0.00040365284,20063.69,23337.0,1592.2084,1389.0,1,11763,2258818573,11763,robert f engle,Robert F. Engle,57206974.0,282,256,90032,2016-06-24,Robert F. Engle
2709804858,0.00057671167,0.00027178985,18339.326,17702.0,1827.5992,1403.0,1,11928,2709804858,11928,luigi zingales,Luigi Zingales,40347166.0,186,158,43206,2017-06-30,Luigi Zingales
317508920,0.0005758791,0.00032429863,11897.824,22855.0,280.7361,414.0,1,10957,317508920,10957,daniel kahneman,Daniel Kahneman,20089843.0,249,247,222978,2016-06-24,Daniel Kahneman
2144924962,0.00057311414,0.00020984546,14260.53,9506.0,2917.8333,1225.0,-1,13164,2144924962,13164,lars e o svensson,Lars E.O. Svensson,180242103.0,176,161,16105,2016-06-24,Lars E.O. Svensson
44657789,0.0005579069,0.00019828364,6260.662,11211.0,508.66666,513.0,1,12625,44657789,12625,franco modigliani,Franco Modigliani,63966007.0,207,200,15130,2016-06-24,Franco Modigliani
74993031,0.0005549305,0.0002527921,18743.355,22821.0,2770.9346,2387.0,1,11997,74993031,11997,philippe aghion,Philippe Aghion,187986737.0,443,371,47118,2016-06-24,Philippe Aghion
2108659890,0.00055441394,0.00019113322,13954.912,11911.0,2200.8472,731.0,1,12332,2108659890,12332,robert g king,Robert G. King,111088046.0,120,110,20881,2016-06-24,Robert G. King
149145658,0.0005515402,0.00016760695,6441.1436,5802.0,255.33333,234.0,1,13146,149145658,13146,james a mirrlees,James A. Mirrlees,241749.0,69,67,10360,2016-06-24,James A. Mirrlees
187321269,0.0005499612,0.0002132907,6211.207,8458.0,97.0,62.0,1,12380,187321269,12380,harold demsetz,Harold Demsetz,161318765.0,96,93,28027,2016-06-24,Harold Demsetz
621481202,0.0005439288,0.00023084218,8662.692,8800.0,955.7262,585.0,1,12753,621481202,12753,jagdish n bhagwati,Jagdish N. Bhagwati,78577930.0,416,412,19944,2016-06-24,Jagdish N. Bhagwati
2504408715,0.00054380053,0.00021033213,7770.205,9801.0,159.70833,209.0,1,12840,2504408715,12840,michael spence,Michael Spence,97018004.0,39,38,17824,2016-08-23,Michael Spence
2232689747,0.0005364906,0.00031001336,23011.744,21278.0,3732.768,1776.0,1,11967,2232689747,11967,ross levine,Ross Levine,95457486.0,286,254,61571,2016-06-24,Ross Levine
