AuthorId	PageRank	PageRank05	InDegreeStrength	InDegree	OutDegreeStrength	OutDegree	Gender	Rank
1964438812	4.7988215e-07	1.0261032e-06	0.0	0.0	0.75	0.75	1	15807
1965534424	3.2138091000000004e-06	3.724603e-06	55.0	154.0	69.96667	69.96667	1	16051
1966218103	1.7234431999999999e-06	1.654862e-06	10.25	46.0	19.166666	19.166666	0	16962
1967688401	7.2536176e-07	1.3053966e-06	1.0	4.0	28.5	28.5	0	19245
1968804591	7.585597e-07	1.3484248e-06	5.0	7.0	3.0	3.0	0	15705
1968897533	1.6085197e-06	2.1005269999999997e-06	15.25	30.0	11.166667	11.166667	1	16868
1968962680	2.046417e-06	2.1419269e-06	41.88889	171.0	15.944445000000002	15.944445000000002	1	16500
1969163611	1.9427019999999997e-06	2.1207043e-06	23.0	72.0	5.0	5.0	0	17772
1970459776	7.9731575e-07	1.3453490999999999e-06	4.0	20.0	23.25	23.25	0	17604
1970606153	4.7988215e-07	1.0261032e-06	0.0	0.0	4.5	4.5	1	19526
1971774642	1.4039678000000001e-06	1.8794287e-06	10.5	20.0	12.0	12.0	0	16163
1972460353	2.54048e-06	2.7240548999999998e-06	60.125	172.0	27.083334000000004	27.083334000000004	0	16475
1972736435	4.7988215e-07	1.0261032e-06	0.0	0.0	25.333334	25.333334	0	18278
1973737815	6.1893275e-07	1.1527333e-06	2.5	6.0	15.5	15.5	0	15355
1975101730	1.1707639e-06	1.5070686e-06	8.75	46.0	19.666666	19.666666	1	16686
1975401855	2.0118562e-06	2.6552407e-06	13.5	81.0	37.0	37.0	1	15617
1975476424	3.9089323e-06	4.070159999999999e-06	68.5	108.0	117.77083600000002	117.77083600000002	0	17155
1975767409	3.198548e-06	2.052154e-06	0.5	2.0	0.5	0.5	0	16345
1975793874	6.012041999999999e-07	1.1434986000000002e-06	1.375	34.0	4.59375	4.59375	0	15654
1976933383	1.0688922e-06	1.5880833e-06	12.0	31.0	19.722220999999998	19.722220999999998	1	16402
1978783510	1.5364541e-06	2.1064143e-06	17.766666	56.0	16.666666	16.666666	1	15311
1978939630	1.5829737e-06	2.1044088e-06	73.083336	177.0	541.4722	541.4722	1	15954
1979357209	5.619754e-07	1.1036414e-06	2.5833333	14.0	8.733334	8.733334	0	16892
1979573291	7.842028e-07	1.3934216999999998e-06	5.5	31.0	32.11111	32.11111	0	14667
1979611661	4.7988215e-07	1.0261032e-06	0.0	0.0	1.0	1.0	1	14813
1983937644	5.426521e-06	5.031230599999999e-06	101.4	298.0	63.116665000000005	63.116665000000005	1	15177
1984244574	8.214999e-06	7.5524339999999996e-06	87.14524	141.0	88.083336	88.083336	1	15540
